ZIP (character),State,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh),ZIP5,rate_lb_per_mwh,norm_factor_vs_us_mean
89702,NV,NWPP,605.872,89702,605.872,0.732153905645785
89703,NV,NWPP,605.872,89703,605.872,0.732153905645785
89704,NV,NWPP,605.872,89704,605.872,0.732153905645785
89705,NV,NWPP,605.872,89705,605.872,0.732153905645785
89706,NV,NWPP,605.872,89706,605.872,0.732153905645785
89711,NV,NWPP,605.872,89711,605.872,0.732153905645785
89712,NV,NWPP,605.872,89712,605.872,0.732153905645785
89713,NV,NWPP,605.872,89713,605.872,0.732153905645785
89714,NV,NWPP,605.872,89714,605.872,0.732153905645785
89721,NV,NWPP,605.872,89721,605.872,0.732153905645785
89801,NV,NWPP,605.872,89801,605.872,0.732153905645785
89802,NV,NWPP,605.872,89802,605.872,0.732153905645785
89803,NV,NWPP,605.872,89803,605.872,0.732153905645785
89815,NV,NWPP,605.872,89815,605.872,0.732153905645785
89820,NV,NWPP,605.872,89820,605.872,0.732153905645785
89821,NV,NWPP,605.872,89821,605.872,0.732153905645785
89822,NV,NWPP,605.872,89822,605.872,0.732153905645785
89823,NV,NWPP,605.872,89823,605.872,0.732153905645785
89825,NV,NWPP,605.872,89825,605.872,0.732153905645785
89826,NV,NWPP,605.872,89826,605.872,0.732153905645785
89828,NV,NWPP,605.872,89828,605.872,0.732153905645785
89830,NV,NWPP,605.872,89830,605.872,0.732153905645785
89831,NV,NWPP,605.872,89831,605.872,0.732153905645785
89832,NV,NWPP,605.872,89832,605.872,0.732153905645785
89833,NV,NWPP,605.872,89833,605.872,0.732153905645785
89834,NV,NWPP,605.872,89834,605.872,0.732153905645785
89835,NV,NWPP,605.872,89835,605.872,0.732153905645785
89883,NV,NWPP,605.872,89883,605.872,0.732153905645785
90001,CA,CAMX,499.278,90001,499.278,0.6033425174013921
90002,CA,CAMX,499.278,90002,499.278,0.6033425174013921
90003,CA,CAMX,499.278,90003,499.278,0.6033425174013921
90004,CA,CAMX,499.278,90004,499.278,0.6033425174013921
90005,CA,CAMX,499.278,90005,499.278,0.6033425174013921
90006,CA,CAMX,499.278,90006,499.278,0.6033425174013921
90007,CA,CAMX,499.278,90007,499.278,0.6033425174013921
90008,CA,CAMX,499.278,90008,499.278,0.6033425174013921
90009,CA,CAMX,499.278,90009,499.278,0.6033425174013921
90010,CA,CAMX,499.278,90010,499.278,0.6033425174013921
90011,CA,CAMX,499.278,90011,499.278,0.6033425174013921
90012,CA,CAMX,499.278,90012,499.278,0.6033425174013921
90013,CA,CAMX,499.278,90013,499.278,0.6033425174013921
90014,CA,CAMX,499.278,90014,499.278,0.6033425174013921
90015,CA,CAMX,499.278,90015,499.278,0.6033425174013921
90016,CA,CAMX,499.278,90016,499.278,0.6033425174013921
90017,CA,CAMX,499.278,90017,499.278,0.6033425174013921
90018,CA,CAMX,499.278,90018,499.278,0.6033425174013921
90019,CA,CAMX,499.278,90019,499.278,0.6033425174013921
90020,CA,CAMX,499.278,90020,499.278,0.6033425174013921
90021,CA,CAMX,499.278,90021,499.278,0.6033425174013921
90022,CA,CAMX,499.278,90022,499.278,0.6033425174013921
90023,CA,CAMX,499.278,90023,499.278,0.6033425174013921
90024,CA,CAMX,499.278,90024,499.278,0.6033425174013921
90025,CA,CAMX,499.278,90025,499.278,0.6033425174013921
90026,CA,CAMX,499.278,90026,499.278,0.6033425174013921
90027,CA,CAMX,499.278,90027,499.278,0.6033425174013921
90028,CA,CAMX,499.278,90028,499.278,0.6033425174013921
90029,CA,CAMX,499.278,90029,499.278,0.6033425174013921
90030,CA,CAMX,499.278,90030,499.278,0.6033425174013921
90031,CA,CAMX,499.278,90031,499.278,0.6033425174013921
90032,CA,CAMX,499.278,90032,499.278,0.6033425174013921
90033,CA,CAMX,499.278,90033,499.278,0.6033425174013921
90034,CA,CAMX,499.278,90034,499.278,0.6033425174013921
90035,CA,CAMX,499.278,90035,499.278,0.6033425174013921
90036,CA,CAMX,499.278,90036,499.278,0.6033425174013921
90037,CA,CAMX,499.278,90037,499.278,0.6033425174013921
90038,CA,CAMX,499.278,90038,499.278,0.6033425174013921
90039,CA,CAMX,499.278,90039,499.278,0.6033425174013921
90040,CA,CAMX,499.278,90040,499.278,0.6033425174013921
90041,CA,CAMX,499.278,90041,499.278,0.6033425174013921
90042,CA,CAMX,499.278,90042,499.278,0.6033425174013921
90043,CA,CAMX,499.278,90043,499.278,0.6033425174013921
90044,CA,CAMX,499.278,90044,499.278,0.6033425174013921
90045,CA,CAMX,499.278,90045,499.278,0.6033425174013921
90046,CA,CAMX,499.278,90046,499.278,0.6033425174013921
90047,CA,CAMX,499.278,90047,499.278,0.6033425174013921
90048,CA,CAMX,499.278,90048,499.278,0.6033425174013921
90049,CA,CAMX,499.278,90049,499.278,0.6033425174013921
90050,CA,CAMX,499.278,90050,499.278,0.6033425174013921
90051,CA,CAMX,499.278,90051,499.278,0.6033425174013921
90052,CA,CAMX,499.278,90052,499.278,0.6033425174013921
90053,CA,CAMX,499.278,90053,499.278,0.6033425174013921
90054,CA,CAMX,499.278,90054,499.278,0.6033425174013921
90055,CA,CAMX,499.278,90055,499.278,0.6033425174013921
90056,CA,CAMX,499.278,90056,499.278,0.6033425174013921
90057,CA,CAMX,499.278,90057,499.278,0.6033425174013921
90058,CA,CAMX,499.278,90058,499.278,0.6033425174013921
90059,CA,CAMX,499.278,90059,499.278,0.6033425174013921
90060,CA,CAMX,499.278,90060,499.278,0.6033425174013921
90061,CA,CAMX,499.278,90061,499.278,0.6033425174013921
90062,CA,CAMX,499.278,90062,499.278,0.6033425174013921
90063,CA,CAMX,499.278,90063,499.278,0.6033425174013921
90064,CA,CAMX,499.278,90064,499.278,0.6033425174013921
90065,CA,CAMX,499.278,90065,499.278,0.6033425174013921
90066,CA,CAMX,499.278,90066,499.278,0.6033425174013921
90067,CA,CAMX,499.278,90067,499.278,0.6033425174013921
90068,CA,CAMX,499.278,90068,499.278,0.6033425174013921
90069,CA,CAMX,499.278,90069,499.278,0.6033425174013921
90070,CA,CAMX,499.278,90070,499.278,0.6033425174013921
90071,CA,CAMX,499.278,90071,499.278,0.6033425174013921
90072,CA,CAMX,499.278,90072,499.278,0.6033425174013921
90073,CA,CAMX,499.278,90073,499.278,0.6033425174013921
90074,CA,CAMX,499.278,90074,499.278,0.6033425174013921
